id,OBJECTID,taz,type,town,state,town_state,mpo,in_brmpo,subregion,Shape_Leng,Shape_Area,WeightSum,WeightxHRSum,WeightxDRSum,WeightxMRSum,Weighted_Average_HR,Weighted_Average_DR,Weighted_Average_MR,Weighted_Average_MR_2010,Weighted_Average_DR_2010,Weighted_Average_HR_2010
209035,5159,5097,E,HALIFAX,VT,"HALIFAX,VT",,0,,3778.70443289,667431.663261,135.78696042734987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209033,5160,5098,E,GUILFORD,VT,"GUILFORD,VT",,0,,2816.06376477,363449.719005,136.25944229897462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209029,5161,5111,E,VERNON,VT,"VERNON,VT",,0,,3486.10879541,570129.945925,136.54116970713625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209027,5162,5112,E,WINCHESTER,NH,"WINCHESTER,NH",,0,,3929.90156672,733761.598604,136.8716021129727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2984,5163,5128,I,AUBURN,MA,"AUBURN,MA",CMRPC,0,,3845.02317801,730725.546691,116.10547544733053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5855,5164,5102,I,GREENFIELD,MA,"GREENFIELD,MA",FRCOG,0,,5107.42538904,809568.232954,123.5915576174371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5852,5165,5103,I,GREENFIELD,MA,"GREENFIELD,MA",FRCOG,0,,3575.88686239,673383.522144,125.67476425227626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5853,5166,5104,I,GREENFIELD,MA,"GREENFIELD,MA",FRCOG,0,,3307.25045607,566402.999753,125.86851967295854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5802,5167,5105,I,MONTAGUE,MA,"MONTAGUE,MA",FRCOG,0,,4780.88389836,881875.79193,124.37545600623687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5801,5168,5106,I,GREENFIELD,MA,"GREENFIELD,MA",FRCOG,0,,2696.19760306,417537.650293,124.76057384596885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5854,5169,5107,I,GREENFIELD,MA,"GREENFIELD,MA",FRCOG,0,,3448.77816638,509495.38987,125.0661499370531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1433,5170,5113,I,CONCORD,MA,"CONCORD,MA",BRMPO,1,MAGIC,4877.97698401,746449.562758,69.9653147437718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1441,5171,5114,I,CONCORD,MA,"CONCORD,MA",BRMPO,1,MAGIC,8613.60802625,3345833.92573,70.96526965813032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2833,5172,5117,I,AUBURN,MA,"AUBURN,MA",CMRPC,0,,8746.68314748,1166963.58769,114.67319780974834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1437,5173,5115,I,CONCORD,MA,"CONCORD,MA",BRMPO,1,MAGIC,7124.78725943,2048272.11978,66.07269237482248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1436,5174,5116,I,CONCORD,MA,"CONCORD,MA",BRMPO,1,MAGIC,12889.2356854,8601858.29253,47.05955354755848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3153,5175,5146,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,2082.69295144,181369.809742,110.84754434554213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2839,5176,5119,I,OXFORD,MA,"OXFORD,MA",CMRPC,0,,13139.0011208,8538543.0965,115.10824330766246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2826,5177,5120,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,3407.17141167,441816.972587,115.03525995808307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2757,5178,5121,I,AUBURN,MA,"AUBURN,MA",CMRPC,0,,7863.42905395,2696328.40779,114.38025222314302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2755,5179,5122,I,AUBURN,MA,"AUBURN,MA",CMRPC,0,,4534.86862915,1112837.95426,115.48147166250439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2834,5180,5123,I,AUBURN,MA,"AUBURN,MA",CMRPC,0,,3491.78607531,371924.490832,116.73002327195695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2835,5181,5124,I,AUBURN,MA,"AUBURN,MA",CMRPC,0,,4612.55908894,602688.085465,117.82014845525094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2756,5182,5125,I,AUBURN,MA,"AUBURN,MA",CMRPC,0,,4505.48364646,802061.211508,115.88736075437146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2808,5183,5126,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,5645.40658762,1274018.57944,109.93815921221625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2800,5184,5127,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,3605.71176802,693782.338297,110.3762560529128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2983,5185,5129,I,AUBURN,MA,"AUBURN,MA",CMRPC,0,,5389.21235505,863450.282525,115.43482112404956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2786,5186,5130,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,2393.0416002,263431.21215,113.25488422864083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
